Группа,Имя замера,Медиана (мс),Дисперсия,Станд. откл (мс),P95 (мс),Погрешность (%)
DIOMB,DIOMB_O2_clang++_DRAW.txt,22.28,0.42,0.65,23.21,2.88
,DIOMB_O2_clang++_NDRAW.txt,21.91,0.74,0.86,24.07,3.88
,DIOMB_O2_g++_DRAW.txt,28.0,0.74,0.86,30.5,3.03
,DIOMB_O2_g++_NDRAW.txt,27.84,1.34,1.16,30.58,4.09
,DIOMB_O3_clang++_DRAW.txt,22.26,0.6,0.77,24.06,3.44
,DIOMB_O3_clang++_NDRAW.txt,21.92,0.55,0.74,23.59,3.33
,DIOMB_O3_g++_DRAW.txt,28.22,0.9,0.95,30.25,3.33
,DIOMB_O3_g++_NDRAW.txt,27.82,0.94,0.97,30.51,3.44
,,,,,,
IOMB,IOMB_O2_clang++_DRAW.txt,14.82,0.25,0.5,15.55,3.34
,IOMB_O2_clang++_NDRAW.txt,14.12,0.46,0.68,15.1,4.76
,IOMB_O2_g++_DRAW.txt,15.34,0.04,0.21,15.86,1.35
,IOMB_O2_g++_NDRAW.txt,14.43,0.53,0.73,16.19,4.97
,IOMB_O3_clang++_DRAW.txt,14.8,0.26,0.51,15.59,3.38
,IOMB_O3_clang++_NDRAW.txt,14.14,0.57,0.76,15.35,5.28
,IOMB_O3_g++_DRAW.txt,14.85,0.22,0.47,15.4,3.12
,IOMB_O3_g++_NDRAW.txt,14.39,0.44,0.66,15.29,4.56
,,,,,,
NOMB,NOMB_O2_clang++_DRAW.txt,102.6,2.1,1.45,106.36,1.4
,NOMB_O2_clang++_NDRAW.txt,102.7,3.36,1.83,107.3,1.77
,NOMB_O2_g++_DRAW.txt,102.78,2.32,1.52,106.64,1.47
,NOMB_O2_g++_NDRAW.txt,103.28,2.94,1.71,107.51,1.65
,NOMB_O3_clang++_DRAW.txt,102.31,2.26,1.5,106.04,1.46
,NOMB_O3_clang++_NDRAW.txt,103.06,16.82,4.1,108.53,3.94
,NOMB_O3_g++_DRAW.txt,103.29,2.59,1.61,107.3,1.55
,NOMB_O3_g++_NDRAW.txt,103.33,5.85,2.42,108.78,2.31
,,,,,,
OMB,OMB_O2_clang++_DRAW.txt,25.3,2.76,1.66,29.13,6.43
,OMB_O2_clang++_NDRAW.txt,24.57,4.34,2.08,29.41,8.22
,OMB_O2_g++_DRAW.txt,31.46,1.39,1.18,33.75,3.71
,OMB_O2_g++_NDRAW.txt,32.06,1.43,1.2,34.65,3.69
,OMB_O3_clang++_DRAW.txt,25.28,2.41,1.55,28.81,6.02
,OMB_O3_clang++_NDRAW.txt,23.98,5.74,2.4,29.81,9.6
,OMB_O3_g++_DRAW.txt,54.78,14.81,3.85,63.95,6.88
,OMB_O3_g++_NDRAW.txt,53.3,20.43,4.52,62.31,8.23
